32, greedy, g2opt (fs), g2opt (bs), f2opt, tabu (1/10-fixed), tabu (1/5-fixed), tabu (1/10-1/10), tabu (1/5-1/10), tabu (1/5-1/5), vns, fvns, benders loop, benders loop (patch), Branch and Cut, Branch and Cut (warm), Branch and Cut (rcb), Branch and Cut (warm) (rcb), Branch and Cut (warm) (rcb) (ccb-patch), Branch and Cut (warm) (rcb) (rcb-patch), Branch and Cut (warm) (rcb) (both-patch), Branch and Cut (warm) (rcb) (ccb-patch), fvns, Hard Fixing (20%), Hard Fixing (40%), Hard Fixing (60%), Hard Fixing (80%), Local Branching v1 (20), Local Branching v1 (50), Local Branching v1 (100), Local Branching v2, Local Branching v2 (context-whole), Local Branching v2 (context-2)
11, 210445.0000, 188949.0000, 186905.0000, 201683.0000, 187877.0000, 187877.0000, 186832.0000, 187877.0000, 186017.0000, 184850.0000, 184214.0000, 131586.0000, 131586.0000, 131586.0000, 131586.0000, 131586.0000, 131586.0000, 131586.0000, 131586.0000, 131586.0000, 242685.0000, 244225.0000, 252754.0000, 252754.0000, 252754.0000, 251213.0000, 252754.0000, 252754.0000, 252754.0000, 242795.0000, 239838.0000, 239838.0000
12, 224187.0000, 190751.0000, 189300.0000, 202530.0000, 190972.0000, 190972.0000, 188009.0000, 189930.0000, 187749.0000, 186725.0000, 186942.0000, 128938.0000, 128938.0000, 128938.0000, 128938.0000, 128938.0000, 128938.0000, 128938.0000, 128938.0000, 128938.0000, 247402.0000, 244623.0000, 259193.0000, 259193.0000, 259193.0000, 255057.0000, 259193.0000, 253860.0000, 254148.0000, 240581.0000, 236145.0000, 239471.0000
13, 209454.0000, 187162.0000, 185027.0000, 192513.0000, 186215.0000, 186215.0000, 184954.0000, 186215.0000, 184296.0000, 181225.0000, 182768.0000, 125638.0000, 125638.0000, 125638.0000, 125638.0000, 125638.0000, 125638.0000, 125638.0000, 125638.0000, 125638.0000, 240928.0000, 239781.0000, 250013.0000, 250013.0000, 250013.0000, 247977.0000, 247224.0000, 246688.0000, 243391.0000, 237997.0000, 240824.0000, 240442.0000
14, 216779.0000, 183898.0000, 182232.0000, 194273.0000, 182592.0000, 182592.0000, 182592.0000, 182592.0000, 182592.0000, 179248.0000, 182272.0000, 127902.0000, 127902.0000, 127902.0000, 127902.0000, 127902.0000, 127902.0000, 127902.0000, 127902.0000, 127902.0000, 242605.0000, 239294.0000, 250955.0000, 250955.0000, 250955.0000, 248581.0000, 245586.0000, 246619.0000, 241701.0000, 235221.0000, 238106.0000, 236842.0000
15, 207365.0000, 188473.0000, 186838.0000, 201476.0000, 186838.0000, 186838.0000, 186838.0000, 186838.0000, 186838.0000, 185000.0000, 185529.0000, 130133.0000, 130133.0000, 130133.0000, 130133.0000, 130133.0000, 130133.0000, 130133.0000, 130133.0000, 130133.0000, 242149.0000, 242947.0000, 257743.0000, 257743.0000, 257743.0000, 253195.0000, 254968.0000, 248402.0000, 257743.0000, 237586.0000, 236477.0000, 239676.0000
16, 210954.0000, 189152.0000, 188083.0000, 202772.0000, 189526.0000, 189526.0000, 188417.0000, 187825.0000, 187697.0000, 184905.0000, 184508.0000, 127920.0000, 127920.0000, 127920.0000, 127920.0000, 127920.0000, 127920.0000, 127920.0000, 127920.0000, 127920.0000, 242757.0000, 241917.0000, 253329.0000, 253329.0000, 253329.0000, 250682.0000, 249414.0000, 248442.0000, 247403.0000, 240347.0000, 239092.0000, 236569.0000
17, 217202.0000, 187358.0000, 185937.0000, 199224.0000, 187067.0000, 187067.0000, 186631.0000, 187067.0000, 186471.0000, 184152.0000, 185558.0000, 126978.0000, 126978.0000, 126978.0000, 126978.0000, 126978.0000, 126978.0000, 126978.0000, 126978.0000, 126978.0000, 248251.0000, 243666.0000, 255469.0000, 255469.0000, 255469.0000, 251106.0000, 255469.0000, 255469.0000, 255469.0000, 238572.0000, 240437.0000, 239057.0000
18, 212698.0000, 188347.0000, 186815.0000, 195540.0000, 187941.0000, 187941.0000, 186130.0000, 187941.0000, 187213.0000, 182460.0000, 183164.0000, 127243.0000, 127243.0000, 127243.0000, 127243.0000, 127243.0000, 127243.0000, 127243.0000, 127243.0000, 127243.0000, 239800.0000, 241923.0000, 254397.0000, 254397.0000, 254397.0000, 251087.0000, 248546.0000, 246661.0000, 247235.0000, 240337.0000, 238064.0000, 237461.0000
19, 224147.0000, 190641.0000, 188872.0000, 198896.0000, 189708.0000, 189708.0000, 187605.0000, 189191.0000, 185747.0000, 184958.0000, 184895.0000, 128481.0000, 128481.0000, 128481.0000, 128481.0000, 128481.0000, 128481.0000, 128481.0000, 128481.0000, 128481.0000, 242771.0000, 243529.0000, 257579.0000, 257579.0000, 257579.0000, 254001.0000, 254255.0000, 253914.0000, 247163.0000, 239134.0000, 236718.0000, 237421.0000
20, 212800.0000, 187783.0000, 186585.0000, 195938.0000, 187058.0000, 187058.0000, 186330.0000, 187025.0000, 184919.0000, 182000.0000, 182480.0000, 127461.0000, 127461.0000, 127461.0000, 127461.0000, 127461.0000, 127461.0000, 127461.0000, 127461.0000, 127461.0000, 248101.0000, 246595.0000, 258005.0000, 258005.0000, 258005.0000, 255979.0000, 254379.0000, 253365.0000, 252323.0000, 240996.0000, 240528.0000, 239656.0000
