32, greedy, g2opt (fs), g2opt (bs), f2opt, tabu (1/10-fixed), tabu (1/5-fixed), tabu (1/10-1/10), tabu (1/5-1/10), tabu (1/5-1/5), vns, fvns, benders loop, benders loop (patch), Branch and Cut, Branch and Cut (warm), Branch and Cut (rcb), Branch and Cut (warm) (rcb), Branch and Cut (warm) (rcb) (ccb-patch), Branch and Cut (warm) (rcb) (rcb-patch), Branch and Cut (warm) (rcb) (both-patch), Branch and Cut (warm) (rcb) (ccb-patch), fvns, Hard Fixing (20%), Hard Fixing (40%), Hard Fixing (60%), Hard Fixing (80%), Local Branching v1 (20), Local Branching v1 (50), Local Branching v1 (100), Local Branching v2, Local Branching v2 (context-whole), Local Branching v2 (context-2)
11, 0.5064, 39.4039, 40.1128, 0.836, 120.0147, 120.0172, 120.017, 120.0146, 120.0171, 120.0089, 120.0012, 131.1075, 130.7725, 78.1299, 62.6757, 34.9705, 27.5889, 19.0418, 20.3052, 23.8982, 120.6174, 120.0208, 121.1427, 120.7078, 120.1095, 120.131, 120.3595, 122.6763, 120.3202, 121.2067, 120.4512, 120.2828
12, 0.4606, 45.3489, 42.6725, 0.8713, 120.0136, 120.014, 120.02, 120.0167, 120.016, 120.0172, 120.0248, 350.5437, 328.2588, 160.727, 186.8948, 99.8426, 100.2452, 58.556, 65.8312, 90.2295, 121.0435, 120.0115, 121.3772, 120.3241, 120.2397, 120.077, 120.3236, 120.2823, 122.3136, 122.2755, 122.034, 120.4611
13, 0.5196, 39.8647, 41.7389, 0.9069, 120.0139, 120.016, 120.0146, 120.014, 120.0127, 120.0094, 120.0214, 51.6336, 47.7285, 38.8108, 33.7546, 26.2765, 25.8019, 10.9999, 13.5582, 12.2753, 123.7854, 120.0202, 121.2482, 121.2593, 120.1799, 120.2324, 120.277, 122.1484, 120.4629, 122.5055, 122.4188, 121.9796
14, 0.4564, 46.9182, 45.0771, 0.9602, 120.0146, 120.0139, 120.0147, 120.0126, 120.0144, 120.0169, 120.021, 92.6992, 91.629, 84.0235, 46.231, 32.0929, 26.6198, 22.8325, 25.477, 21.7083, 124.0835, 120.0177, 121.1237, 120.796, 120.3408, 120.3133, 120.2435, 120.5501, 120.1686, 122.758, 123.9931, 120.656
15, 0.4423, 35.9018, 36.9634, 0.9397, 120.0148, 120.0149, 120.0159, 120.015, 120.0128, 120.0005, 120.0144, 290.7569, 296.2799, 31.3909, 73.2269, 42.7297, 45.5426, 26.4429, 37.594, 28.7562, 120.7577, 120.0346, 121.1114, 121.8139, 120.1475, 120.9859, 120.0788, 120.2106, 120.3819, 120.332, 120.3813, 120.6861
16, 0.3952, 37.9469, 38.578, 0.8454, 120.0142, 120.0126, 120.0154, 120.0139, 120.0144, 120.0173, 120.0191, 182.5468, 177.4025, 67.7958, 69.0692, 71.2471, 70.1395, 28.3513, 31.8058, 32.7238, 126.5805, 120.0832, 120.5081, 121.1465, 120.1114, 120.2034, 121.8869, 121.8678, 123.6757, 120.2225, 122.0417, 123.7988
17, 0.409, 42.2651, 42.7732, 0.9885, 120.014, 120.0126, 120.0173, 120.0157, 120.0144, 120.0036, 120.0232, 105.897, 95.2894, 42.9612, 37.4147, 37.3493, 32.8499, 16.7534, 18.7001, 18.3362, 127.136, 120.0372, 120.5669, 121.3115, 120.3234, 120.1676, 120.1813, 120.4568, 120.3852, 120.394, 120.2483, 120.711
18, 0.4951, 41.9349, 42.6335, 0.7531, 120.0125, 120.0138, 120.0143, 120.0139, 120.0143, 120.0228, 120.0197, 117.4606, 122.035, 46.3616, 39.9766, 34.3607, 30.12, 16.7838, 25.5772, 27.8532, 120.7753, 120.0458, 120.2547, 122.1113, 120.1403, 120.1693, 122.3616, 120.2056, 120.1902, 120.2495, 120.5184, 121.4259
19, 0.4524, 44.55, 44.3989, 0.6893, 120.0145, 120.014, 120.0139, 120.0145, 120.0169, 120.0183, 120.0041, 247.3642, 228.9064, 74.6922, 119.5669, 65.1418, 52.912, 29.9612, 39.5012, 42.6474, 120.5847, 120.0346, 120.1153, 120.0226, 120.1873, 120.1354, 123.3762, 120.2011, 120.1946, 121.1064, 121.6985, 124.0607
20, 0.4086, 44.8283, 46.0258, 0.874, 120.0142, 120.0129, 120.0131, 120.0144, 120.0119, 120.0246, 120.0147, 125.3044, 117.1955, 49.9124, 67.2743, 40.7579, 60.1344, 20.4082, 25.4412, 22.7754, 120.9652, 120.0502, 121.5946, 121.4986, 120.0726, 120.1447, 120.1201, 120.2071, 120.1337, 123.2023, 122.6469, 123.8926
